vocab size,Unks in part 0,Unks in part 1,Unks in part 2,Unks in part 3,Unks in part 4,Average
50,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%
60,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%
70,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%
80,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%
90,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%
100,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%
500,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%
1000,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%
1500,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%
