vocab size,Unks in part 0,Unks in part 1,Unks in part 2,Unks in part 3,Unks in part 4,Average
50,0.041\%,0.042\%,0.051\%,0.051\%,0.066\%,0.05\%
60,0.045\%,0.046\%,0.056\%,0.056\%,0.072\%,0.055\%
70,0.048\%,0.05\%,0.06\%,0.06\%,0.078\%,0.059\%
80,0.051\%,0.053\%,0.064\%,0.063\%,0.082\%,0.063\%
90,0.053\%,0.055\%,0.067\%,0.066\%,0.086\%,0.065\%
100,0.056\%,0.057\%,0.069\%,0.069\%,0.09\%,0.068\%
500,0.092\%,0.094\%,0.112\%,0.113\%,0.147\%,0.112\%
1000,0.11\%,0.114\%,0.135\%,0.137\%,0.177\%,0.135\%
1500,0.121\%,0.128\%,0.152\%,0.153\%,0.197\%,0.15\%
