vocab size,Unks in part 0,Unks in part 1,Unks in part 2,Unks in part 3,Unks in part 4,Average
50,0.015\%,0.019\%,0.019\%,0.019\%,0.085\%,0.031\%
60,0.016\%,0.02\%,0.021\%,0.021\%,0.092\%,0.034\%
70,0.018\%,0.022\%,0.022\%,0.023\%,0.099\%,0.037\%
80,0.019\%,0.023\%,0.024\%,0.024\%,0.105\%,0.039\%
90,0.02\%,0.024\%,0.025\%,0.025\%,0.11\%,0.041\%
100,0.02\%,0.025\%,0.026\%,0.026\%,0.115\%,0.043\%
500,0.033\%,0.041\%,0.042\%,0.043\%,0.186\%,0.069\%
1000,0.04\%,0.05\%,0.051\%,0.052\%,0.224\%,0.083\%
1500,0.045\%,0.056\%,0.057\%,0.058\%,0.251\%,0.093\%
