vocab size,Unks in part 0,Unks in part 1,Unks in part 2,Unks in part 3,Unks in part 4,Average
50,0.04\%,0.042\%,0.05\%,0.05\%,0.066\%,0.05\%
60,0.044\%,0.046\%,0.055\%,0.055\%,0.072\%,0.054\%
70,0.048\%,0.049\%,0.059\%,0.059\%,0.077\%,0.058\%
80,0.051\%,0.052\%,0.063\%,0.062\%,0.081\%,0.062\%
90,0.053\%,0.055\%,0.065\%,0.065\%,0.085\%,0.065\%
100,0.055\%,0.057\%,0.068\%,0.068\%,0.088\%,0.067\%
500,0.089\%,0.092\%,0.111\%,0.112\%,0.145\%,0.11\%
1000,0.107\%,0.112\%,0.133\%,0.134\%,0.172\%,0.132\%
1500,0.115\%,0.122\%,0.146\%,0.146\%,0.186\%,0.143\%
