token,tfidf
viewers,0.0067691110678856255
147k,0.002509239447578292
las,0.0020424042015172146
rematch,0.0019451468585878235
hockey,0.0018991944650892864
hora,0.001808986578486676
ifb,0.0017895351099007975
coordinated,0.001750632172729041
0000,0.001750632172729041
gmt,0.001750632172729041
