token,relfreq
safe,67.71030706174831
hot,40.407763891688504
pink,31.670950077269367
suddenly,27.3025431700598
missed,25.118339716455015
oh,23.540859444407115
kind,22.934136262850235
coming,19.657831082443057
ist,19.657831082443057
annoying,17.473627628838273
